#,Title,Speaker,Year,Month,Session,URL
1,Out of the Darkness,Joseph Fielding Smith,1971,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/out-of-the-darkness?lang=eng
2,"Voices of the Past, of the Present, of the Future",Spencer W. Kimball,1971,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/voices-of-the-past-of-the-present-of-the-future?lang=eng
3,Love of the Right,Marvin J. Ashton,1971,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/love-of-the-right?lang=eng
4,Life Is Eternal,Ezra Taft Benson,1971,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/life-is-eternal?lang=eng
5,Satan—The Great Deceiver,Marion G. Romney,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/satan-the-great-deceiver?lang=eng
6,Be Slow to Anger,ElRay L. Christiansen,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/be-slow-to-anger?lang=eng
7,“When Thou Art Converted”,S. Dilworth Young,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/when-thou-art-converted?lang=eng
8,“Thou Shalt Not Commit Adultery”,Milton R. Hunter,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/thou-shalt-not-commit-adultery?lang=eng
9,Great Experiences,Sterling W. Sill,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/great-experiences?lang=eng
10,The Law of Abundance,Franklin D. Richards,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-law-of-abundance?lang=eng
11,Warnings from the Past,Mark E. Petersen,1971,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/warnings-from-the-past?lang=eng
12,Our Responsibilities as Priesthood Holders,Joseph Fielding Smith,1971,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/our-responsibilities-as-priesthood-holders?lang=eng
